BN,IN,atc
A 313,"CONCENTRAT DE VITAMINE A SYNTHÉTIQUE, FORME HUILEUSE",NA
ABACAVIR,ABACAVIR,J05AF06
ABACAVIR,SULFATE D'ABACAVIR,NA
ABACAVIR/LAMIVUDINE,LAMIVUDINE,J05AF05
ABACAVIR/LAMIVUDINE,ABACAVIR,J05AF06
ABACAVIR/LAMIVUDINE,SULFATE D'ABACAVIR,NA
ABACAVIR/LAMIVUDINE,ABACAVIR (SULFATE D'),NA
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,ZIDOVUDINE,J05AF01
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,LAMIVUDINE,J05AF05
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,ABACAVIR,J05AF06
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,SULFATE D'ABACAVIR,NA
ABASAGLAR,INSULINE GLARGINE,A10AE04
ABELCET,AMPHOTÉRICINE B,A01AB04
ABELCET,AMPHOTÉRICINE B,A07AA07
ABELCET,AMPHOTÉRICINE B,G01AA03
ABELCET,AMPHOTÉRICINE B,J02AA01
ABEVMY,BÉVACIZUMAB,L01FG01
ABEVMY,BÉVACIZUMAB,S01LA08
ABILIFY,ARIPIPRAZOLE,N05AX12
ABILIFY MAINTENA,ARIPIPRAZOLE,N05AX12
ABIRATERONE,ACÉTATE D'ABIRATÉRONE,NA
ABRAXANE,PACLITAXEL,L01CD01
ABSTRAL,CITRATE DE FENTANYL,NA
ABSTRAL,FENTANYL,N01AH01
ABSTRAL,FENTANYL,N02AB03
ABUFENE,ALANINE,NA
ACAMPROSATE,ACAMPROSATE CALCIQUE,NA
ACARBOSE,ACARBOSE,A10BF01
ACCOFIL,FILGRASTIM,L03AA02
ACCUSOL,CHLORURE DE POTASSIUM,A12BA01
ACCUSOL,CHLORURE DE POTASSIUM,B05XA01
ACCUSOL,CALCIUM (CHLORURE DE) DIHYDRATÉ,NA
ACCUSOL,CHLORURE DE SODIUM,A12CA01
ACCUSOL,CHLORURE DE SODIUM,B05CB01
ACCUSOL,CHLORURE DE SODIUM,B05XA03
ACCUSOL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,A12CC01
ACCUSOL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,B05XA11
ACCUSOL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,NA
ACCUSOL,GLUCOSE MONOHYDRATÉ,NA
ACCUSOL,BICARBONATE DE SODIUM,B05CB04
ACCUSOL,BICARBONATE DE SODIUM,B05XA02
ACEBUTOLOL,CHLORHYDRATE D'ACÉBUTOLOL,NA
ACEBUTOLOL,ACÉBUTOLOL BASE,C07AB04
ACEBUTOLOL,ACÉBUTOLOL,C07AB04
ACEBUTOLOL,ACÉBUTOLOL (CHLORHYDRATE D'),NA
ACECLOFENAC,ACÉCLOFÉNAC,M01AB16
ACECLOFENAC,ACÉCLOFÉNAC,M02AA25
ACETATE DE CYPROTERONE,ACÉTATE DE CYPROTÉRONE,NA
ACETATE DE TERLIPRESSINE,TERLIPRESSINE,H01BA04
ACETYLCYSTEINE,ACÉTYLCYSTÉINE,R05CB01
ACETYLCYSTEINE,ACÉTYLCYSTÉINE,S01XA08
ACETYLCYSTEINE,ACÉTYLCYSTÉINE,V03AB23
ACICLOVIR,ACICLOVIR,D06BB03
ACICLOVIR,ACICLOVIR,J05AB01
ACICLOVIR,ACICLOVIR,S01AD03
ACIDE ACETYLSALICYLIQUE,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ACIDE ACETYLSALICYLIQUE,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ACIDE ACETYLSALICYLIQUE,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ACIDE ACÉTYLSALICYLIQUE,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ACIDE ACÉTYLSALICYLIQUE,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ACIDE ACÉTYLSALICYLIQUE,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ACIDE ALENDRONIQUE,ALENDRONATE MONOSODIQUE TRIHYDRATÉ,NA
ACIDE ALENDRONIQUE,ACIDE ALENDRONIQUE,NA
ACIDE ALENDRONIQUE,ACIDE ALENDRONIQUE,M05BA04
ACIDE ALENDRONIQUE,ALENDRONIQUE (ACIDE),NA
ACIDE ALENDRONIQUE,ALENDRONIQUE (ACIDE),M05BA04
ACIDE ALENDRONIQUE/CHOLECALCIFEROL,CHOLÉCALCIFÉROL,A11CC05
ACIDE ALENDRONIQUE/CHOLECALCIFEROL,ALENDRONATE MONOSODIQUE TRIHYDRATÉ,NA
ACIDE ALENDRONIQUE/CHOLECALCIFEROL,ACIDE ALENDRONIQUE,NA
ACIDE ALENDRONIQUE/CHOLECALCIFEROL,ACIDE ALENDRONIQUE,M05BA04
ACIDE ALENDRONIQUE/CHOLECALCIFEROL,ALENDRONATE DE SODIUM TRIHYDRATÉ,NA
ACIDE ALENDRONIQUE/CHOLECALCIFEROL,"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",A11CC05
ACIDE ALENDRONIQUE/CHOLECALCIFEROL,COLÉCALCIFÉROL,A11CC05
ACIDE ALENDRONIQUE/VITAMINE D3,CHOLÉCALCIFÉROL,A11CC05
ACIDE ALENDRONIQUE/VITAMINE D3,ALENDRONATE DE SODIUM TRIHYDRATÉ,NA
ACIDE ALENDRONIQUE/VITAMINE D3,ACIDE ALENDRONIQUE,NA
ACIDE ALENDRONIQUE/VITAMINE D3,ACIDE ALENDRONIQUE,M05BA04
ACIDE ALENDRONIQUE/VITAMINE D3,"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",A11CC05
ACIDE ALENDRONIQUE/VITAMINE D3,ALENDRONATE MONOSODIQUE TRIHYDRATÉ,NA
ACIDE ALENDRONIQUE/VITAMINE D3,ALENDRONATE ACIDE ANHYDRE,NA
